gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
TF,spatial_knn,0.3375142809596186,0.29015378152166565,0.2769873246015387,0.04736049943795295,dlpfc,Visium_DLPFC,patient,patient_
TFF1,mean,0.0,0.0,0.2356339408791286,0.0,dlpfc,Visium_DLPFC,patient,patient_
TFF1,pca_ridge,0.14482351979420985,0.10998113596767456,0.2356339408791286,0.03484238382653529,dlpfc,Visium_DLPFC,patient,patient_
TFF1,spatial_knn,0.3303872136651679,0.30755894117147076,0.2356339408791286,0.02282827249369712,dlpfc,Visium_DLPFC,patient,patient_
TFF3,mean,0.0,0.0,0.1745244424053923,0.0,dlpfc,Visium_DLPFC,patient,patient_
TFF3,pca_ridge,0.16129358375496464,0.13821524318541964,0.1745244424053923,0.023078340569544997,dlpfc,Visium_DLPFC,patient,patient_
TFF3,spatial_knn,0.22744451446056227,0.21251242694807218,0.1745244424053923,0.014932087512490089,dlpfc,Visium_DLPFC,patient,patient_
TMEM144,mean,0.0,0.0,0.1660435568944688,0.0,dlpfc,Visium_DLPFC,patient,patient_
TMEM144,pca_ridge,0.3940612852314571,0.2954354611398266,0.1660435568944688,0.09862582409163051,dlpfc,Visium_DLPFC,patient,patient_
TMEM144,spatial_knn,0.22129580905382187,0.17160157185777183,0.1660435568944688,0.04969423719605004,dlpfc,Visium_DLPFC,patient,patient_
AGR2,mean,0.0,0.0,0.1324995223814516,0.0,anderson,ST_v1,patient,patient_
AGR2,pca_ridge,0.5496429501715225,0.15785889432397576,0.1324995223814516,0.3917840558475468,anderson,ST_v1,patient,patient_
AGR2,spatial_knn,0.02812861370731166,-0.02510927016761325,0.1324995223814516,0.05323788387492491,anderson,ST_v1,patient,patient_
AGR3,mean,0.0,0.0,0.1426284395399444,0.0,anderson,ST_v1,patient,patient_
AGR3,pca_ridge,0.4189126973030148,0.11259050761700269,0.1426284395399444,0.3063221896860121,anderson,ST_v1,patient,patient_
AGR3,spatial_knn,0.07389553719941014,-0.027166885929629417,0.1426284395399444,0.10106242312903956,anderson,ST_v1,patient,patient_
AP000769,mean,0.0,0.0,0.2195950598468359,0.0,anderson,ST_v1,patient,patient_
AP000769,pca_ridge,0.7471360398243327,0.17680383255498594,0.2195950598468359,0.5703322072693469,anderson,ST_v1,patient,patient_
AP000769,spatial_knn,0.02687721064304932,-0.0149179698950988,0.2195950598468359,0.041795180538148125,anderson,ST_v1,patient,patient_
AREG,mean,0.0,0.0,0.1498006185941157,0.0,anderson,ST_v1,patient,patient_
AREG,pca_ridge,0.46306710483203056,0.10731992855372792,0.1498006185941157,0.35574717627830266,anderson,ST_v1,patient,patient_
AREG,spatial_knn,0.11436806944890102,0.01474529541088765,0.1498006185941157,0.09962277403801337,anderson,ST_v1,patient,patient_
ASPH,mean,0.0,0.0,0.1078742777110338,0.0,anderson,ST_v1,patient,patient_
ASPH,pca_ridge,0.643689707462799,0.3635133237127318,0.1078742777110338,0.28017638375006715,anderson,ST_v1,patient,patient_
ASPH,spatial_knn,0.00415353262668787,-0.010095618880886713,0.1078742777110338,0.014249151507574583,anderson,ST_v1,patient,patient_
CCL19,mean,0.0,0.0,0.1389008918769181,0.0,anderson,ST_v1,patient,patient_
CCL19,pca_ridge,0.4690175421917197,0.2170702966762419,0.1389008918769181,0.2519472455154778,anderson,ST_v1,patient,patient_
CCL19,spatial_knn,0.03611931383892636,0.00652746803823275,0.1389008918769181,0.029591845800693607,anderson,ST_v1,patient,patient_
CCL21,pca_ridge,0.2658902099361241,0.15064601835568442,0.0817075963034446,0.11524419158043969,anderson,ST_v1,patient,patient_
CCL21,spatial_knn,0.03721928052445981,-0.004947543365242449,0.0817075963034446,0.042166823889702255,anderson,ST_v1,patient,patient_
CD36,mean,0.0,0.0,0.0968794239704968,0.0,anderson,ST_v1,patient,patient_
CD36,pca_ridge,0.6656004599790458,0.06465704038841084,0.0968794239704968,0.600943419590635,anderson,ST_v1,patient,patient_
CD36,spatial_knn,0.01993109541420924,-0.022305195121756848,0.0968794239704968,0.04223629053596609,anderson,ST_v1,patient,patient_
CD74,mean,0.0,0.0,0.2150025876400652,0.0,anderson,ST_v1,patient,patient_
CD74,pca_ridge,0.6745118604593757,0.47763403375454694,0.2150025876400652,0.19687782670482878,anderson,ST_v1,patient,patient_
CD74,spatial_knn,0.004973062742679229,-0.024076008639985214,0.2150025876400652,0.029049071382664444,anderson,ST_v1,patient,patient_
CHGA,mean,0.0,0.0,0.1993597090956675,0.0,anderson,ST_v1,patient,patient_
CHGA,pca_ridge,0.4776475738658704,0.0537101058446298,0.1993597090956675,0.4239374680212406,anderson,ST_v1,patient,patient_
CHGA,spatial_knn,0.13474642283691585,-0.0186393081216503,0.1993597090956675,0.15338573095856614,anderson,ST_v1,patient,patient_
COL3A1,mean,0.0,0.0,0.1602187287415666,0.0,anderson,ST_v1,patient,patient_
COL3A1,pca_ridge,0.7226340020791417,0.40958811102396225,0.1602187287415666,0.3130458910551795,anderson,ST_v1,patient,patient_
COL3A1,spatial_knn,0.054639392456537074,-0.005049158842588698,0.1602187287415666,0.05968855129912577,anderson,ST_v1,patient,patient_
DCAF12L2,mean,0.0,0.0,0.1143806659003017,0.0,anderson,ST_v1,patient,patient_
DCAF12L2,pca_ridge,0.43444200108287107,0.05847101224006515,0.1143806659003017,0.3759709888428059,anderson,ST_v1,patient,patient_
DCAF12L2,spatial_knn,0.10722099724053821,-0.0007435422898301001,0.1143806659003017,0.10796453953036832,anderson,ST_v1,patient,patient_
FABP4,mean,0.0,0.0,0.1201725676701328,0.0,anderson,ST_v1,patient,patient_
FABP4,pca_ridge,0.2615542385709938,0.11561463570049003,0.1201725676701328,0.14593960287050378,anderson,ST_v1,patient,patient_
FABP4,spatial_knn,0.03339696618690509,-0.038676497435665744,0.1201725676701328,0.07207346362257083,anderson,ST_v1,patient,patient_
FABP7,mean,0.0,0.0,0.1321395249524168,0.0,anderson,ST_v1,patient,patient_
FABP7,pca_ridge,0.5376216459881651,0.03340715864726965,0.1321395249524168,0.5042144873408955,anderson,ST_v1,patient,patient_
FABP7,spatial_knn,0.14727516461188356,0.003977242343264562,0.1321395249524168,0.14329792226861898,anderson,ST_v1,patient,patient_
FNBP1L,mean,0.0,0.0,0.1210202630402389,0.0,anderson,ST_v1,patient,patient_
FNBP1L,pca_ridge,0.852455075631654,0.3008022123416649,0.1210202630402389,0.5516528632899891,anderson,ST_v1,patient,patient_
FNBP1L,spatial_knn,-0.01997125127535086,-0.020934972633201536,0.1210202630402389,0.0009637213578506769,anderson,ST_v1,patient,patient_
GLYATL2,mean,0.0,0.0,0.1098343908114981,0.0,anderson,ST_v1,patient,patient_
GLYATL2,pca_ridge,0.6705784583637042,0.1392576604881049,0.1098343908114981,0.5313207978755994,anderson,ST_v1,patient,patient_
GLYATL2,spatial_knn,0.01845070321499314,-0.0031478583842989125,0.1098343908114981,0.021598561599292052,anderson,ST_v1,patient,patient_
GNAS,mean,0.0,0.0,0.1728756506052079,0.0,anderson,ST_v1,patient,patient_
GNAS,pca_ridge,0.638487755708795,0.48283588147619205,0.1728756506052079,0.15565187423260296,anderson,ST_v1,patient,patient_
GNAS,spatial_knn,0.03683034205590816,-0.021613870240488525,0.1728756506052079,0.05844421229639669,anderson,ST_v1,patient,patient_
HLA-E,mean,0.0,0.0,0.1530575352002701,0.0,anderson,ST_v1,patient,patient_
HLA-E,pca_ridge,0.7022878681634515,0.31745543600813575,0.1530575352002701,0.3848324321553157,anderson,ST_v1,patient,patient_
HLA-E,spatial_knn,-0.00660884351355707,-0.013368905197608513,0.1530575352002701,0.0067600616840514435,anderson,ST_v1,patient,patient_
IGHD,mean,0.0,0.0,0.0860101133484178,0.0,anderson,ST_v1,patient,patient_
IGHD,pca_ridge,0.3664986859743738,0.09315654267033961,0.0860101133484178,0.27334214330403417,anderson,ST_v1,patient,patient_
IGHD,spatial_knn,0.01156716807850041,-0.018263307711561986,0.0860101133484178,0.029830475790062396,anderson,ST_v1,patient,patient_
IGHG4,mean,0.0,0.0,0.1660679503030481,0.0,anderson,ST_v1,patient,patient_
IGHG4,pca_ridge,0.8475412302518496,0.105472383559582,0.1660679503030481,0.7420688466922676,anderson,ST_v1,patient,patient_
IGHG4,spatial_knn,0.0367295456436049,-0.01987519364730549,0.1660679503030481,0.056604739290910394,anderson,ST_v1,patient,patient_
IGHM,mean,0.0,0.0,0.2672035886614903,0.0,anderson,ST_v1,patient,patient_
IGHM,pca_ridge,0.82418644513916,0.28871784296858494,0.2672035886614903,0.535468602170575,anderson,ST_v1,patient,patient_
