dataset,platform,split,model,mean_pearson,sd_seed,n_rows
dlpfc,Visium_DLPFC,patient_Br5595,spatial_knn,0.2225776543509615,,1
dlpfc,Visium_DLPFC,patient_Br8100,mean,0.0,,1
dlpfc,Visium_DLPFC,patient_Br8100,pca_ridge,0.3461718468893066,,1
dlpfc,Visium_DLPFC,patient_Br8100,spatial_knn,0.3124287015478781,,1
dlpfc,Visium_DLPFC,random,mean,0.0,0.0,10
dlpfc,Visium_DLPFC,random,pca_ridge,0.29157686753252077,0.00758607761185043,10
dlpfc,Visium_DLPFC,random,spatial_knn,0.29692923370828184,0.005724096721597287,10
dlpfc,Visium_DLPFC,region_hop10,mean,0.0,,1
dlpfc,Visium_DLPFC,region_hop10,pca_ridge,0.1558878613549738,,1
dlpfc,Visium_DLPFC,region_hop10,spatial_knn,0.1267664179596448,,1
dlpfc,Visium_DLPFC,region_hop5,mean,0.0,,1
dlpfc,Visium_DLPFC,region_hop5,pca_ridge,0.1892601285181091,,1
dlpfc,Visium_DLPFC,region_hop5,spatial_knn,0.153063793911766,,1
anderson,ST_v1,matched_coord0.25,mean,0.0,0.0,10
anderson,ST_v1,matched_coord0.25,pca_ridge,0.5770893164660735,0.0011351515746727309,10
anderson,ST_v1,matched_coord0.25,spatial_knn,0.00933694514828623,0.003975778287253978,10
anderson,ST_v1,matched_coord0.5,mean,0.0,0.0,10
anderson,ST_v1,matched_coord0.5,pca_ridge,0.5684255538700513,0.004770500295315266,10
anderson,ST_v1,matched_coord0.5,spatial_knn,0.00301732812020424,0.0036464167280112125,10
anderson,ST_v1,matched_coord1.0,mean,0.0,0.0,10
anderson,ST_v1,matched_coord1.0,pca_ridge,0.5682418239739159,0.018151714520324175,10
anderson,ST_v1,matched_coord1.0,spatial_knn,0.01166311540450542,0.016974891522617403,10
anderson,ST_v1,matched_hop0,mean,0.0,0.0,10
anderson,ST_v1,matched_hop0,pca_ridge,0.5824121629957377,0.003027929370702814,10
anderson,ST_v1,matched_hop0,spatial_knn,0.016413766519250386,0.0035612043891818154,10
anderson,ST_v1,matched_hop1,mean,0.0,0.0,10
anderson,ST_v1,matched_hop1,pca_ridge,0.5824121629957377,0.003027929370702814,10
anderson,ST_v1,matched_hop1,spatial_knn,0.016413766519250386,0.0035612043891818154,10
anderson,ST_v1,matched_hop2,mean,0.0,0.0,10
anderson,ST_v1,matched_hop2,pca_ridge,0.5661454252103566,0.004652227720895912,10
anderson,ST_v1,matched_hop2,spatial_knn,0.009776199855033096,0.00749204739684642,10
anderson,ST_v1,matched_hop5,mean,0.0,0.0,10
anderson,ST_v1,matched_hop5,pca_ridge,0.3913154642468525,0.08503549900989124,10
anderson,ST_v1,matched_hop5,spatial_knn,0.06137609911982196,0.15009107020856075,10
anderson,ST_v1,patient_A,mean,0.0,,1
anderson,ST_v1,patient_A,pca_ridge,0.1905050394756272,,1
anderson,ST_v1,patient_A,spatial_knn,-0.0135349581088231,,1
anderson,ST_v1,patient_B,mean,0.0,,1
anderson,ST_v1,patient_B,pca_ridge,0.2352803407202954,,1
anderson,ST_v1,patient_B,spatial_knn,-0.0074690063455487,,1
anderson,ST_v1,patient_C,mean,0.0,,1
anderson,ST_v1,patient_C,pca_ridge,0.3062763399873397,,1
anderson,ST_v1,patient_C,spatial_knn,-0.0173770861535812,,1
anderson,ST_v1,patient_D,mean,0.0,,1
anderson,ST_v1,patient_D,pca_ridge,0.2262415335122416,,1
anderson,ST_v1,patient_D,spatial_knn,-0.0039217794180728,,1
anderson,ST_v1,patient_E,mean,0.0,,1
anderson,ST_v1,patient_E,pca_ridge,0.1556202146622218,,1
anderson,ST_v1,patient_E,spatial_knn,0.0116441073006996,,1
anderson,ST_v1,patient_F,mean,0.0,,1
anderson,ST_v1,patient_F,pca_ridge,0.1325218362567281,,1
anderson,ST_v1,patient_F,spatial_knn,-0.0170606069885391,,1
anderson,ST_v1,patient_G,mean,0.0,,1
anderson,ST_v1,patient_G,pca_ridge,0.2262294142775358,,1
anderson,ST_v1,patient_G,spatial_knn,-0.0174254215925387,,1
anderson,ST_v1,patient_H,mean,0.0,,1
anderson,ST_v1,patient_H,pca_ridge,0.1587077259714925,,1
anderson,ST_v1,patient_H,spatial_knn,-0.0102372543052436,,1
anderson,ST_v1,random,mean,0.0,0.0,10
anderson,ST_v1,random,pca_ridge,0.6040109346365726,0.004664730561800418,10
anderson,ST_v1,random,spatial_knn,0.03450547515656159,0.007125714006896189,10
anderson,ST_v1,region_hop5,mean,0.0,,1
anderson,ST_v1,region_hop5,pca_ridge,0.2598459267702207,,1
anderson,ST_v1,region_hop5,spatial_knn,0.0298619359493605,,1
thrane,ST_v1,matched_coord0.25,mean,0.0,0.0,10
thrane,ST_v1,matched_coord0.25,pca_ridge,0.6389591335055819,0.021502888315275276,10
thrane,ST_v1,matched_coord0.25,spatial_knn,0.03792089182140144,0.013957425092155452,10
thrane,ST_v1,matched_coord0.5,mean,0.0,0.0,10
thrane,ST_v1,matched_coord0.5,pca_ridge,0.6625879346530571,0.0210917261489707,10
thrane,ST_v1,matched_coord0.5,spatial_knn,-0.00615657261474082,0.020122393675534048,10
thrane,ST_v1,matched_coord1.0,mean,0.0,0.0,9
thrane,ST_v1,matched_coord1.0,pca_ridge,0.5006009793177436,0.28381923896855954,9
thrane,ST_v1,matched_coord1.0,spatial_knn,-0.023579989165803932,0.013368597267924557,9
thrane,ST_v1,matched_hop0,mean,0.0,0.0,10
thrane,ST_v1,matched_hop0,pca_ridge,0.6373321389486024,0.02123662522102898,10
thrane,ST_v1,matched_hop0,spatial_knn,0.06304430090756677,0.013516682566472742,10
thrane,ST_v1,matched_hop1,mean,0.0,0.0,10
thrane,ST_v1,matched_hop1,pca_ridge,0.6373321389486024,0.02123662522102898,10
thrane,ST_v1,matched_hop1,spatial_knn,0.06304430090756677,0.013516682566472742,10
thrane,ST_v1,matched_hop2,mean,0.0,0.0,10
thrane,ST_v1,matched_hop2,pca_ridge,0.6577082182985159,0.023371374912256396,10
thrane,ST_v1,matched_hop2,spatial_knn,0.010365092082121129,0.02060470185617592,10
thrane,ST_v1,patient_mel1_,mean,0.0,,1
thrane,ST_v1,patient_mel1_,pca_ridge,0.433368663550791,,1
thrane,ST_v1,patient_mel1_,spatial_knn,0.0197158511129166,,1
thrane,ST_v1,patient_mel2_,mean,0.0,,1
thrane,ST_v1,patient_mel2_,pca_ridge,0.4339339628563869,,1
thrane,ST_v1,patient_mel2_,spatial_knn,0.0059921379372643,,1
thrane,ST_v1,patient_mel3_,mean,0.0,,1
thrane,ST_v1,patient_mel3_,pca_ridge,0.1820049359536598,,1
thrane,ST_v1,patient_mel3_,spatial_knn,0.0201208569640842,,1
thrane,ST_v1,patient_mel4_,mean,0.0,,1
thrane,ST_v1,patient_mel4_,pca_ridge,0.2589029580843253,,1
thrane,ST_v1,patient_mel4_,spatial_knn,0.0130004904046898,,1
thrane,ST_v1,random,mean,0.0,0.0,10
thrane,ST_v1,random,pca_ridge,0.6532214941268585,0.016640879901482032,10
thrane,ST_v1,random,spatial_knn,0.002800070060424489,0.02427323289318063,10
visium_breast,Visium_breast,matched_coord0.25,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_coord0.25,pca_ridge,0.4567178880859988,0.05554399328502863,10
visium_breast,Visium_breast,matched_coord0.25,spatial_knn,0.1895008149202418,0.05517830175413855,10
visium_breast,Visium_breast,matched_coord0.5,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_coord0.5,pca_ridge,0.43382069431699993,0.07034176069510692,10
visium_breast,Visium_breast,matched_coord0.5,spatial_knn,0.11242663930598207,0.09688857783908121,10
visium_breast,Visium_breast,matched_coord1.0,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_coord1.0,pca_ridge,0.39072819295498035,0.07615490329072763,10
visium_breast,Visium_breast,matched_coord1.0,spatial_knn,0.06412691080611083,0.08247197625368663,10
visium_breast,Visium_breast,matched_hop0,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_hop0,pca_ridge,0.46818310480739334,0.047700513993911994,10
visium_breast,Visium_breast,matched_hop0,spatial_knn,0.28458488357442646,0.014820036307343411,10
visium_breast,Visium_breast,matched_hop1,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_hop1,pca_ridge,0.46818310480739334,0.047700513993911994,10
visium_breast,Visium_breast,matched_hop1,spatial_knn,0.28458488357442646,0.014820036307343411,10
visium_breast,Visium_breast,matched_hop2,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_hop2,pca_ridge,0.46009768663192585,0.05238725656663044,10
visium_breast,Visium_breast,matched_hop2,spatial_knn,0.2292224964961432,0.03575956437308344,10
visium_breast,Visium_breast,matched_hop5,mean,0.0,0.0,10
visium_breast,Visium_breast,matched_hop5,pca_ridge,0.4424223982699787,0.06279081060858645,10
visium_breast,Visium_breast,matched_hop5,spatial_knn,0.13222126033854656,0.08272280124699748,10
visium_breast,Visium_breast,random,mean,0.0,0.0,10
visium_breast,Visium_breast,random,pca_ridge,0.5972968907724414,0.0064749924440428,10
visium_breast,Visium_breast,random,spatial_knn,0.648544270388867,0.005600637716587033,10
visium_breast,Visium_breast,region_hop10,mean,0.0,,1
visium_breast,Visium_breast,region_hop10,pca_ridge,0.4302446363046452,,1
visium_breast,Visium_breast,region_hop10,spatial_knn,0.1197000221222285,,1
visium_breast,Visium_breast,region_hop5,mean,0.0,,1
visium_breast,Visium_breast,region_hop5,pca_ridge,0.4856042654709253,,1
visium_breast,Visium_breast,region_hop5,spatial_knn,0.1827742660730898,,1
visium_breast,Visium_breast,slide_Section_1,mean,0.0,,1
visium_breast,Visium_breast,slide_Section_1,pca_ridge,0.5756551169781781,,1
visium_breast,Visium_breast,slide_Section_1,spatial_knn,0.5470009976830987,,1
visium_breast,Visium_breast,slide_Section_2,mean,0.0,,1
visium_breast,Visium_breast,slide_Section_2,pca_ridge,0.584711455503664,,1
visium_breast,Visium_breast,slide_Section_2,spatial_knn,0.5579651243483916,,1
