gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
KRT19,mean,0.0,0.0,0.2464803974649806,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT19,pca_ridge,0.21901888461372634,0.1919857235659809,0.2464803974649806,0.027033161047745446,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT19,spatial_knn,0.30368375188861646,0.21534145375073135,0.2464803974649806,0.0883422981378851,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT8,mean,0.0,0.0,0.2482960014971054,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT8,pca_ridge,0.27022164483010885,0.18562523932809155,0.2482960014971054,0.0845964055020173,dlpfc,Visium_DLPFC,spatial,matched_hop0
KRT8,spatial_knn,0.3259341051817014,0.21426992936853867,0.2482960014971054,0.11166417581316274,dlpfc,Visium_DLPFC,spatial,matched_hop0
MAG,pca_ridge,0.45690940299985605,0.2610403202878467,0.2331143769118815,0.19586908271200937,dlpfc,Visium_DLPFC,spatial,matched_hop0
MAG,spatial_knn,0.2956492279513991,0.16060364873248872,0.2331143769118815,0.13504557921891036,dlpfc,Visium_DLPFC,spatial,matched_hop0
MAL,pca_ridge,0.36518871032817324,0.19415754702022303,0.1633709610883811,0.1710311633079502,dlpfc,Visium_DLPFC,spatial,matched_hop0
MAL,spatial_knn,0.22193350464719197,0.10445467060528572,0.1633709610883811,0.11747883404190625,dlpfc,Visium_DLPFC,spatial,matched_hop0
MALAT1,pca_ridge,0.1949998749476486,0.17597638750225808,0.1919086138448589,0.019023487445390508,dlpfc,Visium_DLPFC,spatial,matched_hop0
MALAT1,spatial_knn,0.1960166513875085,0.13639839599386724,0.1919086138448589,0.05961825539364127,dlpfc,Visium_DLPFC,spatial,matched_hop0
MBP,mean,0.0,0.0,0.5156025633668878,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
MBP,pca_ridge,0.5167422801206926,0.40749095529238344,0.5156025633668878,0.10925132482830913,dlpfc,Visium_DLPFC,spatial,matched_hop0
MBP,spatial_knn,0.49188470619249286,0.3753319575302672,0.5156025633668878,0.11655274866222565,dlpfc,Visium_DLPFC,spatial,matched_hop0
MGP,mean,0.0,0.0,0.3641248799790357,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
MGP,pca_ridge,0.1560352950545217,0.1501994688268148,0.3641248799790357,0.005835826227706897,dlpfc,Visium_DLPFC,spatial,matched_hop0
MGP,spatial_knn,0.43617963832949275,0.2304748680506606,0.3641248799790357,0.20570477027883216,dlpfc,Visium_DLPFC,spatial,matched_hop0
MOBP,mean,0.0,0.0,0.3196668563856915,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
MOBP,pca_ridge,0.4826886164204979,0.2765513079885201,0.3196668563856915,0.20613730843197775,dlpfc,Visium_DLPFC,spatial,matched_hop0
MOBP,spatial_knn,0.39082011404913575,0.2196792153344052,0.3196668563856915,0.17114089871473054,dlpfc,Visium_DLPFC,spatial,matched_hop0
MOG,mean,0.0,0.0,0.2020854320738061,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
MOG,pca_ridge,0.4269977849416944,0.21935150300690132,0.2020854320738061,0.20764628193479306,dlpfc,Visium_DLPFC,spatial,matched_hop0
MOG,spatial_knn,0.2647627374692692,0.13454749942466948,0.2020854320738061,0.13021523804459972,dlpfc,Visium_DLPFC,spatial,matched_hop0
MUC1,mean,0.0,0.0,0.2468302877405294,0.0,dlpfc,Visium_DLPFC,spatial,matched_hop0
MUC1,pca_ridge,0.2346388026623341,0.1719644088884316,0.2468302877405294,0.06267439377390252,dlpfc,Visium_DLPFC,spatial,matched_hop0
MUC1,spatial_knn,0.3242317505628734,0.20336993272315684,0.2468302877405294,0.12086181783971656,dlpfc,Visium_DLPFC,spatial,matched_hop0
NEFL,pca_ridge,0.477793373014625,0.4778579107323509,0.278464746694377,-6.453771772590988e-05,dlpfc,Visium_DLPFC,spatial,matched_hop0
NEFL,spatial_knn,0.18978290065435438,0.15022797582183642,0.278464746694377,0.03955492483251796,dlpfc,Visium_DLPFC,spatial,matched_hop0
NKX6-2,pca_ridge,0.37509070060380334,0.1990818930526653,0.1605185055744521,0.17600880755113804,dlpfc,Visium_DLPFC,spatial,matched_hop0
NKX6-2,spatial_knn,0.21961654641638248,0.11300032915380058,0.1605185055744521,0.1066162172625819,dlpfc,Visium_DLPFC,spatial,matched_hop0
