slide,split,model,seed,gene,pearson,spearman,rmse
Section_1,random,pca_ridge,0,LINC00645,0.34179774510679645,0.2817744261839397,0.4301064908504486
Section_1,random,pca_ridge,0,C3,0.737845307053851,0.7564076589020652,0.5471823811531067
Section_1,random,pca_ridge,0,IGLC3,0.5134181440161937,0.4655953495644342,0.7339707612991333
Section_1,random,pca_ridge,0,IGLC1,0.4462099157190889,0.4355260473230659,0.8486433029174805
Section_1,random,pca_ridge,0,TIMP1,0.7232947576608977,0.7525531651154276,0.53596431016922
Section_1,random,pca_ridge,0,APOC1,0.6357513395541119,0.6407085456357776,0.5346090197563171
Section_1,random,pca_ridge,0,TFF1,0.5605038727179618,0.5751681746023068,0.5813128352165222
Section_1,random,pca_ridge,0,SCGB2A2,0.5365326337992171,0.5570095338811698,0.6090960502624512
Section_1,random,pca_ridge,0,SCGB1D2,0.4693721497263314,0.4723148169398297,0.6411550641059875
Section_1,random,pca_ridge,0,SERPINA3,0.5082836897500836,0.5305295110308119,0.5800827741622925
Section_1,random,pca_ridge,0,LINC00052,0.4380489079323182,0.24879797315430274,0.258165180683136
Section_1,random,pca_ridge,0,AGR2,0.5613880687988496,0.4765910372809671,0.5240609645843506
Section_1,random,pca_ridge,0,C6orf141,0.5489161116231189,0.32776185109787115,0.37024620175361633
Section_1,random,pca_ridge,0,LYZ,0.6529991723639378,0.6966570191563701,0.5596362948417664
Section_1,random,pca_ridge,0,CTSD,0.6283075554281792,0.6397497846525039,0.3784342110157013
Section_1,random,pca_ridge,0,HEBP1,0.604529926293462,0.5954698803260009,0.5213398933410645
Section_1,random,pca_ridge,0,IGHM,0.44415946574161835,0.4235278692726264,0.7773331999778748
Section_1,random,pca_ridge,0,HLA-DRB1,0.6276869959971965,0.6784544246795357,0.45950421690940857
Section_1,random,pca_ridge,0,C1QA,0.7455308749352136,0.7514528050550685,0.45651301741600037
Section_1,random,pca_ridge,0,IGHA1,0.4764694499337766,0.5382421037528078,0.7870901226997375
Section_1,random,pca_ridge,0,DEGS1,0.5025366526752109,0.3655933168438205,0.559808611869812
Section_1,random,pca_ridge,0,AC087379.2,0.42057928895859026,0.3507205098909928,0.37122461199760437
Section_1,random,pca_ridge,0,AEBP1,0.6790287071684251,0.7099481398732055,0.5216585397720337
Section_1,random,pca_ridge,0,COL1A2,0.7120420906877245,0.7419552775770331,0.5135353207588196
Section_1,random,pca_ridge,0,GFRA1,0.5205029397588957,0.3590229498824053,0.5516543388366699
Section_1,random,pca_ridge,0,COL1A1,0.6934630497336098,0.7109386281002017,0.5422723889350891
Section_1,random,pca_ridge,0,HLA-E,0.6483395175543862,0.7225913329323546,0.4205813407897949
Section_1,random,pca_ridge,0,CFB,0.46446200371873614,0.42615754525424604,0.5221971869468689
Section_1,random,pca_ridge,0,CCL19,0.6089785938661809,0.4905189465908352,0.5157309770584106
Section_1,random,pca_ridge,0,SNCG,0.5081837346407841,0.5081695750362554,0.5203959941864014
Section_1,random,pca_ridge,0,IGHG2,0.3548466757984928,0.24605528957184758,0.6407756209373474
Section_2,random,pca_ridge,0,CRISP3,0.7234626650919763,0.37675920635803334,0.5875838398933411
Section_2,random,pca_ridge,0,CPB1,0.5862441700562745,0.6084936443093955,0.8032280206680298
Section_2,random,pca_ridge,0,IGHG3,0.6732435644981218,0.7098239059923392,0.6622965931892395
Section_2,random,pca_ridge,0,CD74,0.8189730117860439,0.8111136733267671,0.31751370429992676
Section_2,random,pca_ridge,0,IGLC2,0.6728472373718017,0.6917888710411496,0.7924746870994568
Section_2,random,pca_ridge,0,HLA-B,0.7174170848322478,0.7448255272308589,0.3187514841556549
Section_2,random,pca_ridge,0,IGKC,0.6912500416620863,0.7275209592783143,0.6845842003822327
Section_2,random,pca_ridge,0,MALAT1,0.5685863309034288,0.6050746052888358,0.585668683052063
Section_2,random,pca_ridge,0,ALB,0.3793240357914369,0.23327732730323864,0.6535823941230774
Section_2,random,pca_ridge,0,IGHG4,0.6276987121672885,0.6262546040176069,0.5455538630485535
Section_2,random,pca_ridge,0,TFF3,0.6973746507987918,0.6842725778282521,0.43968483805656433
Section_2,random,pca_ridge,0,CXCL14,0.7315471800036254,0.5391718951962625,0.5723341703414917
Section_2,random,pca_ridge,0,IGHG1,0.6963033061468695,0.7071447241950193,0.6498726010322571
Section_2,random,pca_ridge,0,SLITRK6,0.6764502350313283,0.3800186976555168,0.36835113167762756
Section_2,random,pca_ridge,0,APOE,0.811605702437195,0.8105088999908026,0.38662829995155334
Section_2,random,pca_ridge,0,MT-ND2,0.5869505666676216,0.5959384429962162,0.5174217820167542
Section_2,random,pca_ridge,0,CALML5,0.5877108028885519,0.5975502595837465,0.42715123295783997
Section_2,random,pca_ridge,0,HLA-DRA,0.796335278235934,0.7993516759000014,0.35505321621894836
Section_2,random,pca_ridge,0,S100G,0.6072844461556771,0.5945225463777218,0.6397110819816589
Section_2,random,pca_ridge,0,LINC00645,0.48520436533679756,0.4037107740863388,0.49748000502586365
Section_2,random,pca_ridge,0,C3,0.6844938139051605,0.6474105552204621,0.5198160409927368
Section_2,random,pca_ridge,0,IGLC3,0.470508194626765,0.44944740062202426,0.7945265769958496
Section_2,random,pca_ridge,0,IGLC1,0.37543221431036067,0.34663540243037244,0.717305064201355
Section_2,random,pca_ridge,0,TIMP1,0.6788179464519959,0.662075130449187,0.5182750225067139
Section_2,random,pca_ridge,0,APOC1,0.7212857570659064,0.7348561208832348,0.47143474221229553
Section_2,random,pca_ridge,0,TFF1,0.5089204341144411,0.5222801999926645,0.6136825680732727
Section_2,random,pca_ridge,0,SCGB2A2,0.5273251819182283,0.5556233303020385,0.6767008900642395
Section_2,random,pca_ridge,0,SCGB1D2,0.5379970122854275,0.5821148367363495,0.6704736948013306
Section_2,random,pca_ridge,0,SERPINA3,0.47927184536561945,0.5006897538897864,0.5773650407791138
Section_2,random,pca_ridge,0,LINC00052,0.3505070726181981,0.19976190710504824,0.25876906514167786
Section_2,random,pca_ridge,0,AGR2,0.6696338477133084,0.5929011747809206,0.456851065158844
Section_2,random,pca_ridge,0,C6orf141,0.5737157639079579,0.3690413073129903,0.34021061658859253
Section_2,random,pca_ridge,0,LYZ,0.7196001832982017,0.7213027414655173,0.4961366653442383
Section_2,random,pca_ridge,0,CTSD,0.6522780778216515,0.6873395594856538,0.35413601994514465
Section_2,random,pca_ridge,0,HEBP1,0.6085131897152046,0.6221101354768442,0.5115426778793335
Section_2,random,pca_ridge,0,IGHM,0.5368983427104768,0.4629236846056302,0.6847178936004639
Section_2,random,pca_ridge,0,HLA-DRB1,0.7175742898440025,0.7310821313068558,0.40781861543655396
Section_2,random,pca_ridge,0,C1QA,0.7222008055847894,0.7385660063602725,0.4553642272949219
Section_2,random,pca_ridge,0,IGHA1,0.3739579255996773,0.3789301037743709,0.7731878757476807
Section_2,random,pca_ridge,0,DEGS1,0.5816564528589034,0.43772875622746843,0.4977441132068634
Section_2,random,pca_ridge,0,AC087379.2,0.43655551876874443,0.3586166345057276,0.40733543038368225
