dataset,dataset_label,seed,split,n_total,n_train,n_val,n_test,n_dropped,train_fraction_vs_random,test_fraction_vs_random,test_fraction_vs_prebuffer,train_sections,val_sections,test_sections,train_patients,val_patients,test_patients,target_genes,n_candidates,knn_k
visium_breast,Visium breast,6,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,6,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,7,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,7,matched_hop0,7785,5172,830,1783,0,0.8304431599229287,2.288831835686778,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,7,matched_hop2,7785,5172,830,1662,121,0.8304431599229287,2.1335044929396663,0.9321368480089737,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,7,matched_hop5,7785,5172,830,1240,543,0.8304431599229287,1.5917843388960204,0.6954570947840718,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,8,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,8,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,8,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,8,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,9,random,7785,6228,778,779,0,1.0,1.0,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,9,matched_hop0,7785,5233,903,1649,0,0.840237636480411,2.1168164313222078,1.0,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,9,matched_hop2,7785,5233,903,1399,250,0.840237636480411,1.7958921694480103,0.8483929654335961,2,2,2,1,1,1,50,300,15
visium_breast,Visium breast,9,matched_hop5,7785,5233,903,671,978,0.840237636480411,0.8613607188703466,0.406913280776228,2,2,2,1,1,1,50,300,15
gse278936_prostate,GSE278936 prostate,0,random,134509,107607,13451,13451,0,1.0,1.0,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,0,matched_hop0,134509,87296,15586,31627,0,0.8112483388627134,2.351274998141402,1.0,52,52,52,52,52,52,50,300,15
gse278936_prostate,GSE278936 prostate,0,matched_hop2,134509,87296,15586,2293,29334,0.8112483388627134,0.17047059698163705,0.07250134378853511,52,52,8,52,52,8,50,300,15
