dataset,dataset_label,seed,model,hop,random_full_mean_pearson,random_size_matched_mean_pearson,spatial_buffer_mean_pearson,random_full_median_pearson,random_size_matched_median_pearson,spatial_buffer_median_pearson,delta_size,delta_spatial,li_random_full_vs_spatial,rli_random_full_vs_spatial
dlpfc,DLPFC,4,spatial_knn,2,0.2855879547661953,0.28578533328501626,0.2207171243697548,0.2593933248803769,0.2569777345484027,0.2109252151266495,-0.00019737851882095647,0.06506820891526147,0.06487083039644051,0.22714834191641192
dlpfc,DLPFC,4,pca_ridge,5,0.2865345389631832,0.28540726483548884,0.1501460922872615,0.329997564055679,0.3284665801449921,0.1601050342631137,0.0011272741276943665,0.13526117254822734,0.1363884466759217,0.47599304143032556
dlpfc,DLPFC,4,spatial_knn,5,0.2855879547661953,0.28378478920167227,0.1544043930794866,0.2593933248803769,0.25424394530194444,0.1443515365633866,0.001803165564523035,0.12938039612218566,0.1311835616867087,0.4593455693679583
dlpfc,DLPFC,5,pca_ridge,2,0.2851014339244709,0.2844232325342065,0.1580002862638036,0.3195500822827445,0.3178175844063932,0.1546188676372916,0.0006782013902644213,0.12642294627040288,0.1271011476606673,0.4458102714921418
dlpfc,DLPFC,5,spatial_knn,2,0.2898965230681836,0.2893539160846282,0.1117270919255663,0.267966184074469,0.27101546820401456,0.0804996988578349,0.0005426069835554048,0.1776268241590619,0.1781694311426173,0.6145966473033962
dlpfc,DLPFC,5,pca_ridge,5,0.2851014339244709,0.268894469088508,0.1550017654266275,0.3195500822827445,0.2918023717089523,0.1382766299615995,0.0162069648359629,0.1138927036618805,0.1300996684978434,0.4563276540107105
dlpfc,DLPFC,5,spatial_knn,5,0.2898965230681836,0.27312042030712846,0.0461221752641216,0.267966184074469,0.2562448180503307,0.0313824295141337,0.016776102761055123,0.22699824504300686,0.24377434780406199,0.8409012471899372
dlpfc,DLPFC,6,pca_ridge,2,0.3003261898056693,0.2993489880649864,0.2212115112746873,0.3423692964184276,0.3418958703488347,0.2504506195117926,0.000977201740682887,0.07813747679029909,0.07911467853098197,0.2634291687387449
dlpfc,DLPFC,6,spatial_knn,2,0.3014200386714636,0.298564596343083,0.2207171243697548,0.2799966535948922,0.27704860428511685,0.2109252151266495,0.0028554423283805863,0.07784747197332822,0.08070291430170881,0.2677423659601873
dlpfc,DLPFC,6,pca_ridge,5,0.3003261898056693,0.29924221394198586,0.1506105424734012,0.3423692964184276,0.341029465932123,0.1577808075970381,0.0010839758636834174,0.14863167146858466,0.14971564733226808,0.498510128034934
dlpfc,DLPFC,6,spatial_knn,5,0.3014200386714636,0.3016594594092544,0.1544043930794866,0.2799966535948922,0.2743083785604635,0.1443515365633866,-0.00023942073779081863,0.14725506632976781,0.147015645591977,0.48774343683307153
dlpfc,DLPFC,7,pca_ridge,2,0.2895846162367753,0.2885846195208786,0.1577534412131282,0.3310072830769091,0.3300844004459438,0.1546313703778449,0.0009999967158966783,0.1308311783077504,0.13183117502364708,0.4552423286044206
dlpfc,DLPFC,7,spatial_knn,2,0.2974551416220526,0.29401178744729195,0.1117270919255663,0.2769894079047138,0.26853244192620856,0.0804996988578349,0.00344335417476066,0.18228469552172566,0.18572804969648632,0.6243901136947666
dlpfc,DLPFC,7,pca_ridge,5,0.2895846162367753,0.2741735529075614,0.1552604401116866,0.3310072830769091,0.29994322474522656,0.1398807780719613,0.015411063329213881,0.1189131127958748,0.13432417612508868,0.46385121513243704
dlpfc,DLPFC,7,spatial_knn,5,0.2974551416220526,0.2912611683132396,0.0461221752641216,0.2769894079047138,0.2720087683274254,0.0313824295141337,0.0061939733088129945,0.24513899304911801,0.251332966357931,0.8449440980827806
dlpfc,DLPFC,8,pca_ridge,2,0.2778023998462749,0.2772887368996144,0.1579006870204535,0.3077293092919276,0.3069191778133836,0.1525948406689157,0.0005136629466604981,0.1193880498791609,0.1199017128258214,0.43160790868678733
dlpfc,DLPFC,8,spatial_knn,2,0.2945094082294036,0.29383436716804406,0.1117270919255663,0.277506329296454,0.2773935355639078,0.0804996988578349,0.0006750410613595159,0.18210727524247777,0.1827823163038373,0.6206331994713792
dlpfc,DLPFC,8,pca_ridge,5,0.2778023998462749,0.2575962153292629,0.1556650168872368,0.3077293092919276,0.29673902499255034,0.1337401528525976,0.020206184517012005,0.10193119844202611,0.12213738295903812,0.43965560782276975
dlpfc,DLPFC,8,spatial_knn,5,0.2945094082294036,0.2946077423522062,0.0461221752641216,0.277506329296454,0.2870919353341469,0.0313824295141337,-9.833412280263465e-05,0.2484855670880846,0.24838723296528198,0.8433932024738733
dlpfc,DLPFC,9,pca_ridge,2,0.2962453009723621,0.29547053950408647,0.1578273520449381,0.3204660939596389,0.320038264846228,0.1526473130867889,0.0007747614682756532,0.13764318745914836,0.138417948927424,0.4672409941123001
dlpfc,DLPFC,9,spatial_knn,2,0.3005578277905859,0.3006423674299038,0.1117270919255663,0.2828185772549495,0.2854843218064685,0.0804996988578349,-8.453963931792652e-05,0.1889152755043375,0.18883073586501958,0.6282675691833509
dlpfc,DLPFC,9,pca_ridge,5,0.2962453009723621,0.26081583629485167,0.1526989747705623,0.3204660939596389,0.2869165810933434,0.1415061590876675,0.03542946467751046,0.10811686152428937,0.14354632620179983,0.4845522468394927
dlpfc,DLPFC,9,spatial_knn,5,0.3005578277905859,0.30104649335667716,0.0461221752641216,0.2828185772549495,0.27590741165289645,0.0313824295141337,-0.0004886655660912842,0.25492431809255556,0.2544356525264643,0.8465447544548489
visium_breast,Visium breast,0,pca_ridge,2,0.6004501026934213,0.598659075365624,0.4277950015333424,0.6178905286548655,0.6187438725703224,0.3862916274781046,0.0017910273277972344,0.17086407383228164,0.17265510116007887,0.2875427956221591
visium_breast,Visium breast,0,spatial_knn,2,0.6530747507457275,0.6570813218441767,0.2071803856777513,0.6391151573444493,0.6425530585682782,0.2000207609335552,-0.004006571098449152,0.44990093616642535,0.4458943650679762,0.6827616050977657
visium_breast,Visium breast,0,pca_ridge,5,0.6004501026934213,0.5989380548659962,0.4049876261481334,0.6178905286548655,0.6213950763178511,0.3663139977245287,0.0015120478274250893,0.19395042871786278,0.19546247654528787,0.3255265935812279
visium_breast,Visium breast,0,spatial_knn,5,0.6530747507457275,0.6520608307078022,0.0822299440629745,0.6391151573444493,0.6396790952688295,0.0345590481717724,0.001013920037925331,0.5698308866448277,0.5708448066827531,0.8740880060527858
visium_breast,Visium breast,1,pca_ridge,2,0.5841617217469925,0.5826091765697581,0.5440743757122125,0.6053332092261324,0.6061105501506565,0.5963400263218813,0.0015525451772344656,0.03853480085754557,0.040087346034780036,0.06862371247964506
visium_breast,Visium breast,1,spatial_knn,2,0.644715225944952,0.6475497786663289,0.2699424276878802,0.6268373321565193,0.6310454516744634,0.2471494426596269,-0.002834552721376893,0.3776073509784487,0.3747727982570718,0.5812997478193127
visium_breast,Visium breast,1,pca_ridge,5,0.5841617217469925,0.5866281750150927,0.4874438703721494,0.6053332092261324,0.6099743968898246,0.4926690639437026,-0.0024664532681001328,0.09918430464294326,0.09671785137484312,0.1655669102823084
visium_breast,Visium breast,1,spatial_knn,5,0.644715225944952,0.6495407610138038,0.2021451968233852,0.6268373321565193,0.6337010635444915,0.1486364301729547,-0.0048255350688517495,0.4473955641904186,0.44257002912156684,0.6864581621643833
visium_breast,Visium breast,2,pca_ridge,2,0.6051579470610018,0.6036218986585244,0.5312715060800957,0.6368267792114692,0.6370576333990984,0.5508505055282853,0.0015360484024773413,0.07235039257842879,0.07388644098090613,0.12209447358287463
visium_breast,Visium breast,2,spatial_knn,2,0.655708271709638,0.6593307563694292,0.2860099187646465,0.6329581304806797,0.6329524423914046,0.2509991080989119,-0.003622484659791203,0.3733208376047827,0.3696983529449915,0.5638152954530701
visium_breast,Visium breast,2,pca_ridge,5,0.6051579470610018,0.6027375973100871,0.5505869205568267,0.6368267792114692,0.6374411472805133,0.5930780412851024,0.002420349750914652,0.05215067675326046,0.05457102650417511,0.09017650147239029
visium_breast,Visium breast,2,spatial_knn,5,0.655708271709638,0.657986948007952,0.2722288990606294,0.6329581304806797,0.6357472658939238,0.2472623310723425,-0.0022786762983140196,0.3857580489473226,0.38347937264900855,0.5848322938631795
visium_breast,Visium breast,3,pca_ridge,2,0.5918810622733552,0.5893217258973968,0.4271604633154443,0.6146302262944568,0.610235511939708,0.3737824314842354,0.0025593363759583987,0.16216126258195251,0.1647205989579109,0.27830016781620914
visium_breast,Visium breast,3,spatial_knn,2,0.6433823363672593,0.647858540008457,0.2071803856777513,0.6304708600380884,0.6385248828571614,0.2000207609335552,-0.004476203641197718,0.4406781543307057,0.43620195068950796,0.677982477965501
visium_breast,Visium breast,3,pca_ridge,5,0.5918810622733552,0.584999511121489,0.4045166307924633,0.6146302262944568,0.6022297568437274,0.3715528365094508,0.006881551151866283,0.18048288032902565,0.18736443148089194,0.3165575711465478
visium_breast,Visium breast,3,spatial_knn,5,0.6433823363672593,0.646289132658261,0.0822299440629745,0.6304708600380884,0.63283543744074,0.0345590481717724,-0.0029067962910017675,0.5640591885952866,0.5611523923042848,0.8721911693639729
visium_breast,Visium breast,4,pca_ridge,2,0.603840984851246,0.603147622471304,0.4270935411477154,0.6113581869835158,0.6069475195352192,0.3837937299180155,0.0006933623799419975,0.17605408132358863,0.17674744370353063,0.29270527860422013
visium_breast,Visium breast,4,spatial_knn,2,0.6570804277463251,0.660337516718603,0.2071803856777513,0.6495734899293384,0.653878416879851,0.2000207609335552,-0.003257088972277833,0.45315713104085165,0.4499000420685738,0.684695545736547
visium_breast,Visium breast,4,pca_ridge,5,0.603840984851246,0.5995187220303861,0.4044408293270435,0.6113581869835158,0.6047124619017452,0.3722358635574136,0.004322262820859901,0.19507789270334264,0.19940015552420254,0.33021964478499916
visium_breast,Visium breast,4,spatial_knn,5,0.6570804277463251,0.659326939229971,0.0822299440629745,0.6495734899293384,0.6451254095062764,0.0345590481717724,-0.002246511483645852,0.5770969951669965,0.5748504836833507,0.8748555875495952
visium_breast,Visium breast,5,pca_ridge,2,0.6003949403142884,0.5997094384662436,0.426863753502913,0.6273046082753413,0.6292911896735596,0.3779473692806189,0.0006855018480448338,0.17284568496333058,0.17353118681137542,0.289028396409432
visium_breast,Visium breast,5,spatial_knn,2,0.6494809202789024,0.6506054934629507,0.2071803856777513,0.633051942472403,0.6319278467046532,0.2000207609335552,-0.0011245731840483497,0.4434251077851994,0.44230053460115104,0.681006201708307
visium_breast,Visium breast,5,pca_ridge,5,0.6003949403142884,0.5983362017672033,0.4044254338492232,0.6273046082753413,0.6277011657011357,0.3720473449290705,0.0020587385470851594,0.19391076791798006,0.19596950646506522,0.3264009959219196
visium_breast,Visium breast,5,spatial_knn,5,0.6494809202789024,0.6552025848615307,0.0822299440629745,0.633051942472403,0.6437048822385734,0.0345590481717724,-0.00572166458262835,0.5729726407985563,0.5672509762159279,0.8733912860324473
visium_breast,Visium breast,6,pca_ridge,2,0.5924628464038836,0.5903062840642347,0.4282200394808418,0.6152035139160501,0.6146147859766318,0.3755824268117111,0.002156562339648893,0.16208624458339288,0.16424280692304177,0.2772204331798335
visium_breast,Visium breast,6,spatial_knn,2,0.6404858654990949,0.6440469036162709,0.2071803856777513,0.6247233421384624,0.6257430130470931,0.2000207609335552,-0.0035610381171760075,0.4368665179385196,0.4333054798213436,0.6765262173017554
visium_breast,Visium breast,6,pca_ridge,5,0.5924628464038836,0.5927433337856712,0.4050567870679784,0.6152035139160501,0.623043074658699,0.3737498412343375,-0.000280487381787653,0.18768654671769286,0.1874060593359052,0.31631698168656125
visium_breast,Visium breast,6,spatial_knn,5,0.6404858654990949,0.6457041145753145,0.0822299440629745,0.6247233421384624,0.6220228234705827,0.0345590481717724,-0.005218249076219594,0.5634741705123401,0.5582559214361205,0.8716131791622017
visium_breast,Visium breast,7,pca_ridge,2,0.5962948727370869,0.5960965620829757,0.5321967976804752,0.6326838694353694,0.6291509676648881,0.5515339517297793,0.0001983106541112445,0.06389976440250045,0.06409807505661169,0.10749392286804595
visium_breast,Visium breast,7,spatial_knn,2,0.6464551807825104,0.6505821116423127,0.2860099187646465,0.6392153763852382,0.6415897241811717,0.2509991080989119,-0.0041269308598023136,0.36457219287766623,0.3604452620178639,0.5575719287786635
visium_breast,Visium breast,7,pca_ridge,5,0.5962948727370869,0.5957465029120574,0.5516061010284868,0.6326838694353694,0.6370068076581399,0.5940839169587403,0.0005483698250294822,0.0441404018835706,0.044688771708600084,0.07494408178200765
visium_breast,Visium breast,7,spatial_knn,5,0.6464551807825104,0.6478239965326762,0.2722288990606294,0.6392153763852382,0.6405532563975633,0.2472623310723425,-0.001368815750165786,0.3755950974720468,0.374226281721881,0.5788897557737781
visium_breast,Visium breast,8,pca_ridge,2,0.6023223539254455,0.5991893213977,0.4296077474414915,0.6196087196529374,0.6113120932920355,0.3897464037686152,0.0031330325277455495,0.1695815739562085,0.17271460648395404,0.28674779436350184
visium_breast,Visium breast,8,spatial_knn,2,0.6440624825028073,0.6456016302326043,0.2071803856777513,0.6214734966331206,0.6191739097035945,0.2000207609335552,-0.001539147729797019,0.438421244554853,0.43688209682505597,0.678322536545438
visium_breast,Visium breast,8,pca_ridge,5,0.6023223539254455,0.6041914822530107,0.4063173082342368,0.6196087196529374,0.6338802938869741,0.3765944901534206,-0.0018691283275651394,0.19787417401877389,0.19600504569120875,0.325415526111239
visium_breast,Visium breast,8,spatial_knn,5,0.6440624825028073,0.6498429212671611,0.0822299440629745,0.6214734966331206,0.6294600043177359,0.0345590481717724,-0.005780438764353857,0.5676129772041867,0.5618325384398328,0.8723261386947562
visium_breast,Visium breast,9,pca_ridge,2,0.5960020757176923,0.5930522229788735,0.4266936404247258,0.6297663622380225,0.6253929654320879,0.3709501564320294,0.002949852738818759,0.1663585825541477,0.16930843529296646,0.28407356650409155
visium_breast,Visium breast,9,spatial_knn,2,0.6509972423114517,0.6567991859607709,0.2071803856777513,0.6315084065662971,0.6303397101774681,0.2000207609335552,-0.005801943649319186,0.4496188002830196,0.4438168566337004,0.6817492114987616
visium_breast,Visium breast,9,pca_ridge,5,0.5960020757176923,0.5980897819911173,0.4048424753232455,0.6297663622380225,0.6254204018009331,0.3736828147866095,-0.0020877062734250273,0.19324730666787177,0.19115960039444674,0.3207364675102124
visium_breast,Visium breast,9,spatial_knn,5,0.6509972423114517,0.6539493691359213,0.0822299440629745,0.6315084065662971,0.6414632768733546,0.0345590481717724,-0.0029521268244695476,0.5717194250729468,0.5687672982484773,0.8736861867939621
gse278936_prostate,GSE278936 prostate,0,pca_ridge,2,0.3745018318137948,0.3596445228489425,0.2924878830558036,0.3018348538070419,0.3125510799297516,0.2613694489756045,0.014857308964852323,0.0671566397931389,0.08201394875799123,0.21899478664971977
gse278936_prostate,GSE278936 prostate,0,spatial_knn,2,-0.0071064295406393,-0.005959774804697392,-0.0020683967510582,-0.0046208914599627,-0.004484556534496714,-0.0074920997238335,-0.0011466547359419077,-0.003891378053639192,-0.0050380327895811,
gse278936_prostate,GSE278936 prostate,0,pca_ridge,5,0.3745018318137948,0.3589506145010656,0.2834958061642935,0.3018348538070419,0.28002446044057916,0.2692664832005609,0.015551217312729237,0.0754548083367721,0.09100602564950133,0.2430055554301006
gse278936_prostate,GSE278936 prostate,0,spatial_knn,5,-0.0071064295406393,-0.005905266557810207,-0.0049777967546995,-0.0046208914599627,-0.007937748827399317,-0.0024610713125965,-0.0012011629828290928,-0.0009274698031107066,-0.0021286327859397994,
gse278936_prostate,GSE278936 prostate,1,pca_ridge,2,0.3763701281249532,0.36718449627506133,0.2970117636087366,0.3129667923353211,0.30390384233637896,0.2678189513538375,0.009185631849891851,0.07017273266632473,0.07935836451621658,0.2108519209842019
gse278936_prostate,GSE278936 prostate,1,spatial_knn,2,-0.0078250762971871,-0.013059565953431345,-0.0003601428308985,-0.0067488269908351,-0.016017760582386624,-0.0029866105301595,0.005234489656244245,-0.012699423122532845,-0.0074649334662886,
gse278936_prostate,GSE278936 prostate,1,pca_ridge,5,0.3763701281249532,0.3304430007720227,0.3035190173089364,0.3129667923353211,0.2536381214276532,0.2853304503460797,0.045927127352930475,0.02692398346308633,0.0728511108160168,0.1935624146872532
gse278936_prostate,GSE278936 prostate,1,spatial_knn,5,-0.0078250762971871,-0.006095094544456459,-0.0014983682412038,-0.0067488269908351,-0.012265564073665323,-0.0004580576809042,-0.001729981752730641,-0.004596726303252659,-0.0063267080559833,
gse278936_prostate,GSE278936 prostate,2,pca_ridge,2,0.3744863480717379,0.3708351256779767,0.2965427264291331,0.3067386394407292,0.2956479788593624,0.2681799578154977,0.0036512223937612,0.07429239924884362,0.07794362164260482,0.20813474788585262
gse278936_prostate,GSE278936 prostate,2,spatial_knn,2,-0.0083392501925108,-0.01349385159054634,-0.0022824316041761,-0.006666142612539,-0.01233123609299297,-0.0048277061395623,0.00515460139803554,-0.011211419986370241,-0.006056818588334701,
gse278936_prostate,GSE278936 prostate,2,pca_ridge,5,0.3744863480717379,0.3287364224281168,0.302110334416485,0.3067386394407292,0.2754383947191177,0.2863761908543186,0.045749925643621125,0.0266260880116318,0.07237601365525292,0.19326742891409307
gse278936_prostate,GSE278936 prostate,2,spatial_knn,5,-0.0083392501925108,-0.011269928387087593,-0.00432061593424,-0.006666142612539,-0.01608938007212023,-0.0070306116535621,0.002930678194576793,-0.006949312452847593,-0.0040186342582708,
gse278936_prostate,GSE278936 prostate,3,pca_ridge,2,0.3752256034024516,0.3699705386634924,0.2934364424947056,0.3043291561131122,0.3036434445595524,0.2630256627978376,0.005255064738959203,0.07653409616878681,0.08178916090774602,0.21797329437571006
gse278936_prostate,GSE278936 prostate,3,spatial_knn,2,-0.0066741683428401,-0.007466150314537104,-0.0020683967510582,-0.0051800071288047,-0.005468155945513798,-0.0074920997238335,0.0007919819716970039,-0.005397753563478904,-0.0046057715917819,
gse278936_prostate,GSE278936 prostate,3,pca_ridge,5,0.3752256034024516,0.3530038594719977,0.2847492662601391,0.3043291561131122,0.28041752331349123,0.2707860608129468,0.022221743930453897,0.06825459321185862,0.09047633714231251,0.24112516928987734
gse278936_prostate,GSE278936 prostate,3,spatial_knn,5,-0.0066741683428401,-0.006526070250964514,-0.0049777967546995,-0.0051800071288047,-0.009684379549657774,-0.0024610713125965,-0.00014809809187558629,-0.0015482734962650136,-0.0016963715881406,
gse278936_prostate,GSE278936 prostate,4,pca_ridge,2,0.3717824005663904,0.3711330697500658,0.2927051429073476,0.3002480107644673,0.3058145158282948,0.2628457406389481,0.000649330816324567,0.07842792684271821,0.07907725765904278,0.2126976896662479
gse278936_prostate,GSE278936 prostate,4,spatial_knn,2,-0.0064992348264577,-0.0075406099713170105,-0.0020683967510582,-0.0053798611200301,-0.007513808811883654,-0.0074920997238335,0.001041375144859311,-0.00547221322025881,-0.0044308380753994995,
gse278936_prostate,GSE278936 prostate,4,pca_ridge,5,0.3717824005663904,0.35724982133270655,0.2837037258777858,0.3002480107644673,0.3022366873352187,0.2723754833681273,0.01453257923368384,0.07354609545492075,0.08807867468860459,0.23690920967324297
gse278936_prostate,GSE278936 prostate,4,spatial_knn,5,-0.0064992348264577,-0.003203976444652299,-0.0049777967546995,-0.0053798611200301,0.001152733803980368,-0.0024610713125965,-0.003295258381805401,0.0017738203100472016,-0.0015214380717581992,
