gene,model,rand,pat,inflation,moran_i
HPCAL1,mean,0.0,0.0,0.0,0.1705304181515227
HPCAL1,pca_ridge,0.2446639425766941,0.22042090491163482,0.02424303766505928,0.1705304181515227
HPCAL1,spatial_knn,0.12552853734576166,0.08825475443276883,0.03727378291299284,0.1705304181515227
HSPA2,mean,0.0,0.0,0.0,0.1602616377243489
HSPA2,pca_ridge,0.3780221407368948,0.28693778129379277,0.091084359443102,0.1602616377243489
HSPA2,spatial_knn,0.22201441196237762,0.16317050365314392,0.058843908309233695,0.1602616377243489
IGHA1,mean,0.0,0.0,0.0,0.2554614284581381
IGHA1,pca_ridge,0.07688309762375456,0.07313010419578249,0.0037529934279720706,0.2554614284581381
IGHA1,spatial_knn,0.26931844885191525,0.254471431631063,0.014847017220852243,0.2554614284581381
IGHG3,mean,0.0,0.0,0.0,0.2710606514846914
IGHG3,pca_ridge,0.03649746680765307,0.019868314054982402,0.016629152752670667,0.2710606514846914
IGHG3,spatial_knn,0.28501628305798704,0.256795836053962,0.02822044700402504,0.2710606514846914
IGHG4,pca_ridge,0.03127526021096677,0.027797018499014767,0.0034782417119520043,0.187532040977866
IGHG4,spatial_knn,0.20565261771544555,0.2027766678457417,0.0028759498697038532,0.187532040977866
IGKC,mean,0.0,0.0,0.0,0.348206897736826
IGKC,pca_ridge,0.08406060416119708,0.07707663757420023,0.006983966586996848,0.348206897736826
IGKC,spatial_knn,0.345734421465293,0.32819047086914305,0.017543950596149938,0.348206897736826
IGLC2,pca_ridge,0.06874652294094716,0.0650660698818937,0.0036804530590534568,0.2422330058087279
IGLC2,spatial_knn,0.2603506007772184,0.2434215305582257,0.016929070218992676,0.2422330058087279
KRT18,pca_ridge,0.23266373596779788,0.22666669009732163,0.005997045870476253,0.183032226865847
KRT18,spatial_knn,0.25441830037616675,0.2463983671936465,0.008019933182520256,0.183032226865847
KRT19,pca_ridge,0.21901888461372634,0.21326334761704638,0.005755536996679966,0.2464803974649806
KRT19,spatial_knn,0.30368375188861646,0.28627155956978556,0.0174121923188309,0.2464803974649806
KRT8,mean,0.0,0.0,0.0,0.2482960014971054
KRT8,pca_ridge,0.27022164483010885,0.2614850145686065,0.008736630261502343,0.2482960014971054
KRT8,spatial_knn,0.3259341051817014,0.3102067572143996,0.015727347967301797,0.2482960014971054
MAG,pca_ridge,0.45690940299985605,0.3401463433372743,0.11676305966258177,0.2331143769118815
MAG,spatial_knn,0.2956492279513991,0.23536324678093312,0.06028598117046596,0.2331143769118815
MAL,pca_ridge,0.36518871032817324,0.27931835976674807,0.08587035056142517,0.1633709610883811
MAL,spatial_knn,0.22193350464719197,0.17514786528632365,0.046785639360868325,0.1633709610883811
MALAT1,pca_ridge,0.1949998749476486,0.12497186331164027,0.07002801163600832,0.1919086138448589
MALAT1,spatial_knn,0.1960166513875085,0.16600012330919997,0.03001652807830854,0.1919086138448589
MBP,pca_ridge,0.5167422801206926,0.4246795856837771,0.09206269443691545,0.5156025633668878
MBP,spatial_knn,0.49188470619249286,0.5086651544034351,-0.01678044821094221,0.5156025633668878
MGP,mean,0.0,0.0,0.0,0.3641248799790357
MGP,pca_ridge,0.1560352950545217,0.08816173601452067,0.06787355904000104,0.3641248799790357
MGP,spatial_knn,0.43617963832949275,0.4111727231508276,0.025006915178665157,0.3641248799790357
MOBP,mean,0.0,0.0,0.0,0.3196668563856915
MOBP,pca_ridge,0.4826886164204979,0.36831287392397183,0.11437574249652604,0.3196668563856915
MOBP,spatial_knn,0.39082011404913575,0.3361986946483774,0.05462141940075832,0.3196668563856915
MOG,pca_ridge,0.4269977849416944,0.3176036015092291,0.10939418343246526,0.2020854320738061
MOG,spatial_knn,0.2647627374692692,0.19167241561377002,0.07309032185549919,0.2020854320738061
MUC1,pca_ridge,0.2346388026623341,0.21792069229693367,0.01671811036540044,0.2468302877405294
MUC1,spatial_knn,0.3242317505628734,0.2909656714934148,0.03326607906945861,0.2468302877405294
NEFL,pca_ridge,0.477793373014625,0.4533267004819615,0.02446667253266349,0.278464746694377
NEFL,spatial_knn,0.18978290065435438,0.058541632260727734,0.13124126839362665,0.278464746694377
NKX6-2,mean,0.0,0.0,0.0,0.1605185055744521
NKX6-2,pca_ridge,0.37509070060380334,0.26836772170410367,0.10672297889969967,0.1605185055744521
NKX6-2,spatial_knn,0.21961654641638248,0.16804039941495183,0.05157614700143065,0.1605185055744521
PLP1,pca_ridge,0.5187821347412709,0.4390450721582749,0.07973706258299601,0.418948084852661
PLP1,spatial_knn,0.4500406927787009,0.44288165802375007,0.007159034754950833,0.418948084852661
PPP1R14A,mean,0.0,0.0,0.0,0.2156929779592869
PPP1R14A,pca_ridge,0.4162307664837727,0.3295766099425595,0.08665415654121322,0.2156929779592869
PPP1R14A,spatial_knn,0.27726322719026675,0.22707636063646386,0.05018686655380289,0.2156929779592869
PTGDS,mean,0.0,0.0,0.0,0.1777215540482319
PTGDS,pca_ridge,0.3220210715689116,0.2713783651458822,0.05064270642302937,0.1777215540482319
PTGDS,spatial_knn,0.10909209258586443,0.040163736697209636,0.06892835588865479,0.1777215540482319
RNASE1,mean,0.0,0.0,0.0,0.1665005564998363
RNASE1,pca_ridge,0.3694775441830159,0.2926602562078674,0.07681728797514853,0.1665005564998363
RNASE1,spatial_knn,0.21281121506494158,0.17313634955840715,0.03967486550653443,0.1665005564998363
S100A11,mean,0.0,0.0,0.0,0.1697706261926276
S100A11,pca_ridge,0.25662575459377857,0.2536864371550445,0.002939317438734046,0.1697706261926276
S100A11,spatial_knn,0.2545070374080871,0.25498863053733284,-0.0004815931292457276,0.1697706261926276
S100B,mean,0.0,0.0,0.0,0.2048527570168208
S100B,pca_ridge,0.341619958157774,0.2918795242191858,0.049740433938588235,0.2048527570168208
S100B,spatial_knn,0.1506780333164137,0.0731515395880759,0.0775264937283378,0.2048527570168208
SAA1,pca_ridge,0.13577841653370692,0.04867867780801974,0.08709973872568719,0.4136080591854777
SAA1,spatial_knn,0.5090474770866843,0.49217837988142915,0.016869097205255146,0.4136080591854777
SAA2,mean,0.0,0.0,0.0,0.1772707756291735
SAA2,pca_ridge,0.07736151695889644,0.03963592650495616,0.03772559045394028,0.1772707756291735
SAA2,spatial_knn,0.27184718093964994,0.2579187083627661,0.013928472576883844,0.1772707756291735
SCGB1D2,mean,0.0,0.0,0.0,0.5286076681339221
SCGB1D2,pca_ridge,0.24523025263244116,0.20636874744631353,0.03886150518612763,0.5286076681339221
SCGB1D2,spatial_knn,0.5909445757176124,0.5663008921318551,0.024643683585757303,0.5286076681339221
SCGB2A2,mean,0.0,0.0,0.0,0.7143328555346343
SCGB2A2,pca_ridge,0.2974663444187652,0.25526034696892513,0.04220599744984005,0.7143328555346343
SCGB2A2,spatial_knn,0.712950083526268,0.6888551748873043,0.024094908638963686,0.7143328555346343
SEPT4,mean,0.0,0.0,0.0,0.1760454776288026
SEPT4,pca_ridge,0.3552539847951309,0.2590171698811952,0.09623681491393565,0.1760454776288026
SEPT4,spatial_knn,0.22851690882009668,0.2012670469341067,0.027249861885989962,0.1760454776288026
SPP1,mean,0.0,0.0,0.0,0.2172672707758185
SPP1,pca_ridge,0.44363552621209534,0.34017400527233366,0.10346152093976169,0.2172672707758185
SPP1,spatial_knn,0.2845181836126499,0.24839542113366556,0.036122762478984355,0.2172672707758185
TF,mean,0.0,0.0,0.0,0.2769873246015387
TF,pca_ridge,0.478739936076901,0.37761824766888513,0.10112168840801589,0.2769873246015387
TF,spatial_knn,0.3375142809596186,0.29015378152166565,0.04736049943795295,0.2769873246015387
TFF1,mean,0.0,0.0,0.0,0.2356339408791286
TFF1,pca_ridge,0.14482351979420985,0.10998113596767456,0.03484238382653529,0.2356339408791286
TFF1,spatial_knn,0.3303872136651679,0.30755894117147076,0.02282827249369712,0.2356339408791286
TFF3,mean,0.0,0.0,0.0,0.1745244424053923
TFF3,pca_ridge,0.16129358375496464,0.13821524318541964,0.023078340569544997,0.1745244424053923
TFF3,spatial_knn,0.22744451446056227,0.21251242694807218,0.014932087512490089,0.1745244424053923
TMEM144,mean,0.0,0.0,0.0,0.1660435568944688
TMEM144,pca_ridge,0.3940612852314571,0.2954354611398266,0.09862582409163051,0.1660435568944688
TMEM144,spatial_knn,0.22129580905382187,0.17160157185777183,0.04969423719605004,0.1660435568944688
