gene,model,rand,pat,inflation,moran_i,dataset
CLDND1,spatial_knn,0.27842763302856216,0.23555494562519508,0.04287268740336708,0.2178415021442792,dlpfc
CNP,pca_ridge,0.44866157286327313,0.3500023067985265,0.09865926606474662,0.2624428143356161,dlpfc
CNP,spatial_knn,0.32154042531937815,0.28538145046069757,0.03615897485868058,0.2624428143356161,dlpfc
CPB1,pca_ridge,0.07968484304399555,0.040821912127889236,0.03886293091610631,0.2597490045737292,dlpfc
CPB1,spatial_knn,0.3599008972548439,0.35502189125262446,0.004879006002219466,0.2597490045737292,dlpfc
CRYAB,pca_ridge,0.4284381347848526,0.37393473619513573,0.05450339858971687,0.259501099447376,dlpfc
CRYAB,spatial_knn,0.2994450670798179,0.2638325194830682,0.0356125475967497,0.259501099447376,dlpfc
CST7,pca_ridge,0.00574810092510565,0.006450439294136234,-0.0007023383690305841,0.0022297091158408,dlpfc
CST7,spatial_knn,0.0034239990351183905,0.012908997115069668,-0.009484998079951276,0.0022297091158408,dlpfc
CU634019.6,pca_ridge,0.00898935327741107,0.008437737344017001,0.0005516159333940687,0.0137299135476509,dlpfc
CU634019.6,spatial_knn,0.0035369485719236897,0.004356786710485033,-0.0008198381385613436,0.0137299135476509,dlpfc
DAPP1,pca_ridge,0.00723720577162589,0.007503665600353867,-0.000266459828727977,-0.0003150628953653,dlpfc
DAPP1,spatial_knn,0.0045983148138965405,0.015180087145385199,-0.01058177233148866,-0.0003150628953653,dlpfc
DDR1,pca_ridge,0.17631745349463487,0.13967678506628675,0.03664066842834812,0.0443085675662355,dlpfc
DDR1,spatial_knn,0.05345176681716528,0.0214107913023996,0.032040975514765674,0.0443085675662355,dlpfc
ENPP2,pca_ridge,0.3967978945515299,0.2879416228749138,0.1088562716766161,0.164948416683164,dlpfc
ENPP2,spatial_knn,0.22763745331417748,0.17619669155467868,0.0514407617594988,0.164948416683164,dlpfc
ERMN,pca_ridge,0.44880082711862224,0.32689615016690104,0.12190467695172119,0.2253765922283386,dlpfc
ERMN,spatial_knn,0.3032096184605401,0.235621181166172,0.06758843729436811,0.2253765922283386,dlpfc
F3,pca_ridge,0.08587773826905896,0.05784148188654314,0.028036256382515827,0.0213094289557768,dlpfc
F3,spatial_knn,0.01927614532244317,0.013991609177467732,0.005284536144975439,0.0213094289557768,dlpfc
FABP4,pca_ridge,0.13747703115285592,0.0750139849528304,0.06246304620002552,0.334981221819085,dlpfc
FABP4,spatial_knn,0.45104900937397174,0.435907411894007,0.015141597479964741,0.334981221819085,dlpfc
FOXP3,pca_ridge,-0.00144665864203733,0.0055275735793619335,-0.006974232221399264,-0.0018867665777808,dlpfc
FOXP3,spatial_knn,0.00264859811023196,0.0003627688269482001,0.00228582928328376,-0.0018867665777808,dlpfc
FXYD3,pca_ridge,0.15155836262013964,0.13462346247635393,0.01693490014378571,0.0590679185397964,dlpfc
FXYD3,spatial_knn,0.0990886872209785,0.09061475741883986,0.008473929802138638,0.0590679185397964,dlpfc
G0S2,pca_ridge,0.0962546352381107,0.05628740939055397,0.039967225847556735,0.1567841737401219,dlpfc
G0S2,spatial_knn,0.24361749255747517,0.2451720417015344,-0.0015545491440592252,0.1567841737401219,dlpfc
GALNT5,pca_ridge,0.02003196111359963,0.021804085713426402,-0.0017721245998267715,0.0092365630532579,dlpfc
GALNT5,spatial_knn,0.0038354809660142,0.014579236634289268,-0.010743755668275068,0.0092365630532579,dlpfc
GATA2-AS1,pca_ridge,-0.01107612476062065,-0.0129544899619993,0.0018783652013786498,0.0044116817390936,dlpfc
GATA2-AS1,spatial_knn,-0.00361610766824052,-0.0034222143905322,-0.00019389327770831999,0.0044116817390936,dlpfc
GDPD3,pca_ridge,-0.00055626467208423,0.0004938218019883001,-0.00105008647407253,0.0004212035395102,dlpfc
GDPD3,spatial_knn,-0.0042380295711631506,0.005818947052355867,-0.010056976623519016,0.0004212035395102,dlpfc
GFAP,pca_ridge,0.4741357038583282,0.41853213792732485,0.05560356593100335,0.419987631352636,dlpfc
GFAP,spatial_knn,0.22936133072908546,0.09162358248087503,0.13773774824821045,0.419987631352636,dlpfc
HBB,pca_ridge,0.09183005728225595,0.03187750666950127,0.05995255061275468,0.3039362802398034,dlpfc
HBB,spatial_knn,0.33234284635217054,0.3125807020443708,0.019762144307799767,0.3039362802398034,dlpfc
HEPACAM,pca_ridge,0.1908791761085274,0.1443983844942994,0.046480791614227995,0.0461577106437253,dlpfc
HEPACAM,spatial_knn,0.04427995080380266,0.018172357891423435,0.026107592912379227,0.0461577106437253,dlpfc
HMGN1,pca_ridge,0.07565183549701134,0.064096915169898,0.011554920327113333,0.0124337259833209,dlpfc
HMGN1,spatial_knn,0.03058155938488887,0.017024149684580867,0.013557409700308002,0.0124337259833209,dlpfc
HOXA5,pca_ridge,0.01108418673078767,0.0038651970547396667,0.007218989676048003,-0.0007084598158452,dlpfc
HOXA5,spatial_knn,0.0038564044093203193,0.005358959129540433,-0.0015025547202201137,-0.0007084598158452,dlpfc
HOXC-AS1,pca_ridge,0.00785975955083373,0.013383224277453866,-0.005523464726620136,-0.0015353066389283,dlpfc
HOXC-AS1,spatial_knn,0.00046278474251276996,0.009228804196066,-0.00876601945355323,-0.0015353066389283,dlpfc
HPCAL1,pca_ridge,0.24454218897551594,0.21835465547958655,0.026187533495929394,0.1705304181515227,dlpfc
HPCAL1,spatial_knn,0.12552853734576166,0.08825475443276883,0.03727378291299284,0.1705304181515227,dlpfc
HRK,pca_ridge,0.09149031630508282,0.07244011462459303,0.019050201680489792,0.0119807880305625,dlpfc
HRK,spatial_knn,0.00636437131104004,0.0040588781508328,0.0023054931602072394,0.0119807880305625,dlpfc
HSPA2,pca_ridge,0.3779352487113839,0.2866592867786721,0.09127596193271181,0.1602616377243489,dlpfc
HSPA2,spatial_knn,0.22201441196237762,0.16317050365314392,0.058843908309233695,0.1602616377243489,dlpfc
ICAM3,pca_ridge,0.0053220629994267,0.0019700167940410736,0.0033520462053856265,0.0023761207382182,dlpfc
ICAM3,spatial_knn,0.0005630697449989503,-0.005560502354298034,0.006123572099296984,0.0023761207382182,dlpfc
IGHA1,pca_ridge,0.07671090741831654,0.073699694779093,0.0030112126392235483,0.2554614284581381,dlpfc
IGHA1,spatial_knn,0.26931844885191525,0.254471431631063,0.014847017220852243,0.2554614284581381,dlpfc
IGHG3,pca_ridge,0.03712839844515436,0.02060673096920487,0.01652166747594949,0.2710606514846914,dlpfc
IGHG3,spatial_knn,0.28501628305798704,0.256795836053962,0.02822044700402504,0.2710606514846914,dlpfc
IGHG4,pca_ridge,0.03295345044174978,0.02807908380287667,0.004874366638873109,0.187532040977866,dlpfc
IGHG4,spatial_knn,0.20565261771544555,0.2027766678457417,0.0028759498697038532,0.187532040977866,dlpfc
