dataset,dataset_label,seed,hop,split,model,mean_pearson,median_pearson,sd_pearson,mean_spearman,median_spearman,mean_rmse,n_genes
dlpfc,DLPFC,5,5,random_size_matched_hop5,pca_ridge,0.268894469088508,0.2918023717089523,0.14228545882123553,0.20090872673037588,0.21363943085009798,0.7696746873855591,50
dlpfc,DLPFC,5,5,random_size_matched_hop5,spatial_knn,0.27312042030712846,0.2562448180503307,0.13698382087863992,0.2227290713657074,0.18589677170757074,0.7820880880392481,50
dlpfc,DLPFC,6,2,random_size_matched_hop2,pca_ridge,0.2993489880649864,0.3418958703488347,0.16126909775321946,0.2234765691083609,0.2488882895366929,0.761751283109188,50
dlpfc,DLPFC,6,2,random_size_matched_hop2,spatial_knn,0.298564596343083,0.27704860428511685,0.11475301473746344,0.2552417614164078,0.2205556594122813,0.7793875701789417,50
dlpfc,DLPFC,6,5,random_size_matched_hop5,pca_ridge,0.29924221394198586,0.341029465932123,0.16097490846907095,0.2229836381430884,0.247107575825926,0.7618440240621567,50
dlpfc,DLPFC,6,5,random_size_matched_hop5,spatial_knn,0.3016594594092544,0.2743083785604635,0.11546927754819665,0.2569597420729077,0.22041230874507298,0.7787675481152736,50
dlpfc,DLPFC,7,2,random_size_matched_hop2,pca_ridge,0.2885846195208786,0.3300844004459438,0.1499553347761674,0.21628739567936606,0.238524138629097,0.7681972157955169,50
dlpfc,DLPFC,7,2,random_size_matched_hop2,spatial_knn,0.29401178744729195,0.26853244192620856,0.10795413517969636,0.24694726273598377,0.21294637339389777,0.7842012489612437,50
dlpfc,DLPFC,7,5,random_size_matched_hop5,pca_ridge,0.2741735529075614,0.29994322474522656,0.16259945647475227,0.20178359907153237,0.2189367675221896,0.7962331226468087,50
dlpfc,DLPFC,7,5,random_size_matched_hop5,spatial_knn,0.2912611683132396,0.2720087683274254,0.12508691781183193,0.24509763525590547,0.2052582587467453,0.8060394638136255,50
dlpfc,DLPFC,8,2,random_size_matched_hop2,pca_ridge,0.2772887368996144,0.3069191778133836,0.14642312865966586,0.21249767227073948,0.23139566529461564,0.763898441195488,50
dlpfc,DLPFC,8,2,random_size_matched_hop2,spatial_knn,0.29383436716804406,0.2773935355639078,0.11405055408436991,0.24843081126216057,0.2127887700273197,0.7771449052690608,50
dlpfc,DLPFC,8,5,random_size_matched_hop5,pca_ridge,0.2575962153292629,0.29673902499255034,0.1510740947623607,0.2007585816335423,0.2197128674203877,0.7846982541680336,50
dlpfc,DLPFC,8,5,random_size_matched_hop5,spatial_knn,0.2946077423522062,0.2870919353341469,0.1298353419489448,0.23820398146124655,0.20984949667572586,0.7864843257822683,50
dlpfc,DLPFC,9,2,random_size_matched_hop2,pca_ridge,0.29547053950408647,0.320038264846228,0.15591388332644923,0.219810260449004,0.2532218652586244,0.7646321308612823,50
dlpfc,DLPFC,9,2,random_size_matched_hop2,spatial_knn,0.3006423674299038,0.2854843218064685,0.11098771923400855,0.2516889863636597,0.21633010759529714,0.780856484059648,50
dlpfc,DLPFC,9,5,random_size_matched_hop5,pca_ridge,0.26081583629485167,0.2869165810933434,0.148743607840029,0.1860739057084439,0.20039741193513522,0.7832977119088173,50
dlpfc,DLPFC,9,5,random_size_matched_hop5,spatial_knn,0.30104649335667716,0.27590741165289645,0.130634836480942,0.24874660355794556,0.21142945310473604,0.7853773155022366,50
visium_breast,Visium breast,0,2,random_size_matched_hop2,pca_ridge,0.598659075365624,0.6187438725703224,0.11372351714316156,0.5707320474253464,0.5763806975500967,0.545255515575409,50
visium_breast,Visium breast,0,2,random_size_matched_hop2,spatial_knn,0.6570813218441767,0.6425530585682782,0.08012005753638007,0.5910261193833505,0.6159787007651928,0.5165253404077161,50
visium_breast,Visium breast,0,5,random_size_matched_hop5,pca_ridge,0.5989380548659962,0.6213950763178511,0.11369817244846604,0.5714968271165062,0.5759132737245599,0.5470379555225372,50
visium_breast,Visium breast,0,5,random_size_matched_hop5,spatial_knn,0.6520608307078022,0.6396790952688295,0.08402703260985728,0.5880628202428408,0.6098039060213835,0.5221217082709928,50
visium_breast,Visium breast,1,2,random_size_matched_hop2,pca_ridge,0.5826091765697581,0.6061105501506565,0.11964086034503695,0.5611455720500285,0.5652637433934488,0.5410859614610672,50
visium_breast,Visium breast,1,2,random_size_matched_hop2,spatial_knn,0.6475497786663289,0.6310454516744634,0.08611391717661421,0.5863286780522214,0.596239499103842,0.5103303738602084,50
visium_breast,Visium breast,1,5,random_size_matched_hop5,pca_ridge,0.5866281750150927,0.6099743968898246,0.12422858313776874,0.563422154895201,0.5699448019862736,0.5361774611473084,50
visium_breast,Visium breast,1,5,random_size_matched_hop5,spatial_knn,0.6495407610138038,0.6337010635444915,0.08775668803899074,0.5844140498889493,0.5989765189351528,0.5072143532016958,50
visium_breast,Visium breast,2,2,random_size_matched_hop2,pca_ridge,0.6036218986585244,0.6370576333990984,0.11480625388339884,0.5733155507282796,0.5834656996102752,0.5325226402282714,50
visium_breast,Visium breast,2,2,random_size_matched_hop2,spatial_knn,0.6593307563694292,0.6329524423914046,0.08568315042201484,0.5894148148332582,0.6046234075948455,0.504964081194019,50
visium_breast,Visium breast,2,5,random_size_matched_hop5,pca_ridge,0.6027375973100871,0.6374411472805133,0.1153885342428652,0.5713512590402561,0.5784469487615342,0.5328720486164094,50
visium_breast,Visium breast,2,5,random_size_matched_hop5,spatial_knn,0.657986948007952,0.6357472658939238,0.08625807916859562,0.5888664510046929,0.6049528644277098,0.5062152089311003,50
visium_breast,Visium breast,3,2,random_size_matched_hop2,pca_ridge,0.5893217258973968,0.610235511939708,0.11514688301639073,0.5630255274104399,0.5671204668306531,0.5506002938747406,50
visium_breast,Visium breast,3,2,random_size_matched_hop2,spatial_knn,0.647858540008457,0.6385248828571614,0.07764258250771224,0.5836114568577551,0.6133434196593857,0.5249455871672134,50
visium_breast,Visium breast,3,5,random_size_matched_hop5,pca_ridge,0.584999511121489,0.6022297568437274,0.11924682567114324,0.5618209787381587,0.5641999136549662,0.5529571217298508,50
visium_breast,Visium breast,3,5,random_size_matched_hop5,spatial_knn,0.646289132658261,0.63283543744074,0.0772966287655024,0.5840990052215053,0.6126439017396907,0.5260237444170368,50
visium_breast,Visium breast,4,2,random_size_matched_hop2,pca_ridge,0.603147622471304,0.6069475195352192,0.11295140927563005,0.5727482796713735,0.5793999592170829,0.5378744727373124,50
visium_breast,Visium breast,4,2,random_size_matched_hop2,spatial_knn,0.660337516718603,0.653878416879851,0.08440717207924922,0.5872614584564136,0.5931530860664076,0.5087146903152653,50
visium_breast,Visium breast,4,5,random_size_matched_hop5,pca_ridge,0.5995187220303861,0.6047124619017452,0.10898987822146602,0.5671439599199612,0.5771207516621752,0.5379419475793839,50
visium_breast,Visium breast,4,5,random_size_matched_hop5,spatial_knn,0.659326939229971,0.6451254095062764,0.08292416320434842,0.5870124010368479,0.5884370417072473,0.5077117354654758,50
visium_breast,Visium breast,5,2,random_size_matched_hop2,pca_ridge,0.5997094384662436,0.6292911896735596,0.12120371942389066,0.5766759407746161,0.5834557179547035,0.5379240179061889,50
visium_breast,Visium breast,5,2,random_size_matched_hop2,spatial_knn,0.6506054934629507,0.6319278467046532,0.08515301788376684,0.587880115450602,0.6088431280278934,0.5145841034336448,50
visium_breast,Visium breast,5,5,random_size_matched_hop5,pca_ridge,0.5983362017672033,0.6277011657011357,0.12156997313012646,0.5749552004730732,0.5857244412818188,0.5373383790254593,50
visium_breast,Visium breast,5,5,random_size_matched_hop5,spatial_knn,0.6552025848615307,0.6437048822385734,0.08522082834477636,0.5902276664976638,0.6104238890095628,0.5096406030678772,50
visium_breast,Visium breast,6,2,random_size_matched_hop2,pca_ridge,0.5903062840642347,0.6146147859766318,0.11984615441289391,0.5634896699101023,0.5772613009623466,0.5353139692544937,50
visium_breast,Visium breast,6,2,random_size_matched_hop2,spatial_knn,0.6440469036162709,0.6257430130470931,0.08626353734918868,0.5785633276666913,0.5930583299667783,0.5115785600754228,50
visium_breast,Visium breast,6,5,random_size_matched_hop5,pca_ridge,0.5927433337856712,0.623043074658699,0.12131994775311676,0.564808881706741,0.5893409422326124,0.5370123445987701,50
visium_breast,Visium breast,6,5,random_size_matched_hop5,spatial_knn,0.6457041145753145,0.6220228234705827,0.08645972427897003,0.5773203143627026,0.5960962222662232,0.5132566741250499,50
visium_breast,Visium breast,7,2,random_size_matched_hop2,pca_ridge,0.5960965620829757,0.6291509676648881,0.12073776225483165,0.5683392133616928,0.5755073522768441,0.5356193554401397,50
visium_breast,Visium breast,7,2,random_size_matched_hop2,spatial_knn,0.6505821116423127,0.6415897241811717,0.08605649522167697,0.580904420557246,0.591027983915204,0.5097722490911584,50
visium_breast,Visium breast,7,5,random_size_matched_hop5,pca_ridge,0.5957465029120574,0.6370068076581399,0.12087660498406705,0.5686353289467463,0.5787756409999494,0.5359298580884934,50
visium_breast,Visium breast,7,5,random_size_matched_hop5,spatial_knn,0.6478239965326762,0.6405532563975633,0.08684179814719944,0.5786255959776703,0.5915718839625986,0.5116365936193487,50
visium_breast,Visium breast,8,2,random_size_matched_hop2,pca_ridge,0.5991893213977,0.6113120932920355,0.11406946178273421,0.5718787272238726,0.5837340179407274,0.5448050725460053,50
visium_breast,Visium breast,8,2,random_size_matched_hop2,spatial_knn,0.6456016302326043,0.6191739097035945,0.08877683601734686,0.5783838130459558,0.5907843194164828,0.522452732762414,50
visium_breast,Visium breast,8,5,random_size_matched_hop5,pca_ridge,0.6041914822530107,0.6338802938869741,0.11504042124984377,0.5741052636998896,0.591649807109104,0.5398672950267792,50
visium_breast,Visium breast,8,5,random_size_matched_hop5,spatial_knn,0.6498429212671611,0.6294600043177359,0.08830074639552864,0.5798159237196897,0.6056312660893731,0.5184024540753648,50
visium_breast,Visium breast,9,2,random_size_matched_hop2,pca_ridge,0.5930522229788735,0.6253929654320879,0.1121863119089528,0.5638764397119512,0.5853368527211211,0.5359272563457489,50
visium_breast,Visium breast,9,2,random_size_matched_hop2,spatial_knn,0.6567991859607709,0.6303397101774681,0.08283990966728534,0.5856325455531152,0.6019292674668739,0.5034705697702663,50
visium_breast,Visium breast,9,5,random_size_matched_hop5,pca_ridge,0.5980897819911173,0.6254204018009331,0.11421840584352727,0.5674450646881735,0.5956106633403935,0.5334923511743546,50
visium_breast,Visium breast,9,5,random_size_matched_hop5,spatial_knn,0.6539493691359213,0.6414632768733546,0.08411698305758243,0.5822988798988308,0.6019565914609197,0.5059906188903712,50
gse278936_prostate,GSE278936 prostate,0,2,random_size_matched_hop2,pca_ridge,0.3596445228489425,0.3125510799297516,0.2451968452115424,0.33202853464906673,0.2864690348346792,0.4314276611804962,50
gse278936_prostate,GSE278936 prostate,0,2,random_size_matched_hop2,spatial_knn,-0.005959774804697392,-0.004484556534496714,0.025168845947986216,-0.0043034507281016245,-0.0016899267027501376,0.5800307420652032,50
gse278936_prostate,GSE278936 prostate,0,5,random_size_matched_hop5,pca_ridge,0.3589506145010656,0.28002446044057916,0.22841402528202914,0.3265138808807253,0.27382544673973164,0.4359606121480465,50
gse278936_prostate,GSE278936 prostate,0,5,random_size_matched_hop5,spatial_knn,-0.005905266557810207,-0.007937748827399317,0.027444178123327143,-0.004524157202426892,-0.003677818741237659,0.5947920081212941,50
gse278936_prostate,GSE278936 prostate,1,2,random_size_matched_hop2,pca_ridge,0.36718449627506133,0.30390384233637896,0.23491689249256714,0.3364131897294037,0.2827810219228197,0.4352405158057809,50
gse278936_prostate,GSE278936 prostate,1,2,random_size_matched_hop2,spatial_knn,-0.013059565953431345,-0.016017760582386624,0.023983988069208855,-0.013156863523136582,-0.015905492910503985,0.581760464574276,50
gse278936_prostate,GSE278936 prostate,1,5,random_size_matched_hop5,pca_ridge,0.3304430007720227,0.2536381214276532,0.23473481285186756,0.3126791633788573,0.25453697634708927,0.4447145336121321,50
gse278936_prostate,GSE278936 prostate,1,5,random_size_matched_hop5,spatial_knn,-0.006095094544456459,-0.012265564073665323,0.029538048798084793,-0.003000528469279169,-0.004647021972065181,0.6076851196355313,50
gse278936_prostate,GSE278936 prostate,2,2,random_size_matched_hop2,pca_ridge,0.3708351256779767,0.2956479788593624,0.23865410203001053,0.33283668696081664,0.2814161528411702,0.4319085991382599,50
gse278936_prostate,GSE278936 prostate,2,2,random_size_matched_hop2,spatial_knn,-0.01349385159054634,-0.01233123609299297,0.026181837575187966,-0.012903534845174201,-0.015848531981536223,0.584461617318725,50
gse278936_prostate,GSE278936 prostate,2,5,random_size_matched_hop5,pca_ridge,0.3287364224281168,0.2754383947191177,0.24139439452826758,0.3142944564414181,0.2722577842304256,0.4358524776250124,50
gse278936_prostate,GSE278936 prostate,2,5,random_size_matched_hop5,spatial_knn,-0.011269928387087593,-0.01608938007212023,0.03438034367552651,-0.010456264548661554,-0.01726617893761192,0.607572870618023,50
gse278936_prostate,GSE278936 prostate,3,2,random_size_matched_hop2,pca_ridge,0.3699705386634924,0.3036434445595524,0.23990974859977132,0.3383640822040547,0.2959051190606271,0.4283465304970741,50
gse278936_prostate,GSE278936 prostate,3,2,random_size_matched_hop2,spatial_knn,-0.007466150314537104,-0.005468155945513798,0.02713563502781549,-0.006211314607126189,-0.004496202798519843,0.5778374696995913,50
gse278936_prostate,GSE278936 prostate,3,5,random_size_matched_hop5,pca_ridge,0.3530038594719977,0.28041752331349123,0.24091632808040941,0.32682783476611954,0.2686766609771609,0.43120302110910413,50
gse278936_prostate,GSE278936 prostate,3,5,random_size_matched_hop5,spatial_knn,-0.006526070250964514,-0.009684379549657774,0.027257723907017466,-0.00445370332739578,-0.0006759783487449316,0.5946310591954762,50
gse278936_prostate,GSE278936 prostate,4,2,random_size_matched_hop2,pca_ridge,0.3711330697500658,0.3058145158282948,0.23485910418775194,0.3337964068885093,0.2779650167826935,0.43246737457811835,50
gse278936_prostate,GSE278936 prostate,4,2,random_size_matched_hop2,spatial_knn,-0.0075406099713170105,-0.007513808811883654,0.02087724414424521,-0.0054040349380187905,-0.007877102598638323,0.5787274551146798,50
gse278936_prostate,GSE278936 prostate,4,5,random_size_matched_hop5,pca_ridge,0.35724982133270655,0.3022366873352187,0.23547542497397653,0.32727756465689484,0.2761732751171209,0.43683328621089457,50
gse278936_prostate,GSE278936 prostate,4,5,random_size_matched_hop5,spatial_knn,-0.003203976444652299,0.001152733803980368,0.028597667597761545,0.0004460045444475102,-0.0014069867112548886,0.5945846193101945,50
