#Archive/File	Name	Time	Size	Type
File	GSM8558005_NEADT_9_scalefactors_json.json.gz	10/03/2024 06:24:48	158	JSON
File	GSM8558005_NEADT_9_tissue_hires_image.png.gz	10/03/2024 06:33:47	3832363	PNG
File	GSM8558005_NEADT_9_tissue_lowres_image.png.gz	10/03/2024 06:32:14	349555	PNG
File	GSM8558005_NEADT_9_tissue_positions_list.csv.gz	10/03/2024 06:33:42	65048	CSV
File	GSM8558006_NEADT_10_barcodes.tsv.gz	10/03/2024 06:25:44	20590	TSV
File	GSM8558006_NEADT_10_features.tsv.gz	10/03/2024 06:27:57	304728	TSV
File	GSM8558006_NEADT_10_matrix.mtx.gz	10/03/2024 06:30:59	38172230	MTX
File	GSM8558006_NEADT_10_scalefactors_json.json.gz	10/03/2024 06:36:54	159	JSON
File	GSM8558006_NEADT_10_tissue_hires_image.png.gz	10/03/2024 06:29:00	3096478	PNG
File	GSM8558006_NEADT_10_tissue_lowres_image.png.gz	10/03/2024 06:31:51	276667	PNG
File	GSM8558006_NEADT_10_tissue_positions_list.csv.gz	10/03/2024 06:28:16	61305	CSV
File	GSM8558007_NEADT_11_barcodes.tsv.gz	10/03/2024 06:27:49	25060	TSV
File	GSM8558007_NEADT_11_features.tsv.gz	10/03/2024 06:26:43	304728	TSV
File	GSM8558007_NEADT_11_matrix.mtx.gz	10/03/2024 06:33:44	51937543	MTX
File	GSM8558007_NEADT_11_scalefactors_json.json.gz	10/03/2024 06:26:42	161	JSON
File	GSM8558007_NEADT_11_tissue_hires_image.png.gz	10/03/2024 06:32:51	4027194	PNG
File	GSM8558007_NEADT_11_tissue_lowres_image.png.gz	10/03/2024 06:37:44	355900	PNG
File	GSM8558007_NEADT_11_tissue_positions_list.csv.gz	10/03/2024 06:34:48	59644	CSV
File	GSM8558008_NEADT_12_barcodes.tsv.gz	10/03/2024 06:37:35	13331	TSV
File	GSM8558008_NEADT_12_features.tsv.gz	10/03/2024 06:31:09	333437	TSV
File	GSM8558008_NEADT_12_matrix.mtx.gz	10/03/2024 06:34:06	19105100	MTX
