slide,split,model,seed,gene,pearson,spearman,rmse
mel2_rep2,random,mean,0,ENSG00000168542,0.0,,1.1288009881973267
mel2_rep2,random,mean,0,ENSG00000145824,0.0,,0.43412458896636963
mel2_rep2,random,mean,0,ENSG00000196616,0.0,,0.22010889649391174
mel2_rep2,random,mean,0,ENSG00000160180,0.0,0.0,0.04134950414299965
mel2_rep2,random,mean,0,ENSG00000133110,0.0,,1.0256935358047485
mel2_rep2,random,mean,0,ENSG00000240583,0.0,,0.8331084251403809
mel2_rep2,random,mean,0,ENSG00000187608,0.0,,1.4544000625610352
mel2_rep2,random,mean,0,ENSG00000181617,0.0,,0.5422996282577515
mel2_rep2,random,mean,0,ENSG00000197766,0.0,,0.8088355660438538
mel2_rep2,random,mean,0,ENSG00000170323,0.0,,0.21601338684558868
mel2_rep2,random,mean,0,ENSG00000148671,0.0,,0.36689603328704834
mel2_rep2,random,mean,0,ENSG00000137077,0.0,,1.4311914443969727
mel2_rep2,random,mean,0,ENSG00000167286,0.0,,0.626814603805542
mel2_rep2,random,mean,0,ENSG00000184113,0.0,,0.8112273812294006
mel2_rep2,random,mean,0,ENSG00000119922,0.0,,0.45260176062583923
mel2_rep2,random,mean,0,ENSG00000105894,0.0,0.0,0.6080988049507141
mel2_rep2,random,mean,0,ENSG00000160307,0.0,,1.2005456686019897
mel2_rep2,random,mean,0,ENSG00000163017,0.0,,0.3713618516921997
mel2_rep2,random,mean,0,ENSG00000170345,0.0,,0.8735369443893433
mel2_rep2,random,mean,0,ENSG00000049540,0.0,,0.5640951991081238
mel2_rep2,random,mean,0,ENSG00000099250,0.0,,0.49716442823410034
mel2_rep2,random,mean,0,ENSG00000110079,0.0,,0.4541594088077545
mel2_rep2,random,mean,0,ENSG00000163431,0.0,,0.34237244725227356
mel2_rep2,random,mean,0,ENSG00000188536,0.0,0.0,0.07376878708600998
mel2_rep2,random,mean,0,ENSG00000167641,0.0,,0.30472928285598755
mel2_rep2,random,mean,0,ENSG00000184564,0.0,0.0,0.04024291783571243
mel2_rep2,random,mean,0,ENSG00000148700,0.0,,0.35028979182243347
mel2_rep2,random,mean,0,ENSG00000261857,0.0,,1.5615859031677246
mel2_rep2,random,mean,0,ENSG00000012223,0.0,0.0,0.011304276064038277
